Movil;Items;Complejidad;Localidad;Propuesta Base;Direccion;Subred Integrada De Servicios De Salud;Coordenadas Geograficas;;;;;;;;;
6937;36;TAB;FONTIBON;Centro de Comando, Control, Comunicaciones y Computo C4;CL 20 68A 06;Subred Norte;4°38′37.51″N 74°6′46.98″W;;;;;;;;;
7052;37;TAM;FONTIBON;Aeropuerto el Dorado;Aeropuerto el dorado AV dorado carrera 103;Subred Norte;4°42′15.97″N 74°8′16.45″W;;;;;;;;;
6939;38;TAM;KENNEDY;CUERPO DE BOMBEROS VOLUNTARIOS DE BOGOTA E UNO;CALLE 8 SUR 70B - 90;Subred Sur Occidente;4°37′7.88″N 74°8′6.82″W;;;;;;;;;
6899;39;;KENNEDY;EDS PETROBRAS EL VERGEL;AV CIUDAD DE CALI 12 75;Subred Sur Occidente;4°39′12.13″N 74°8′31.37″W;;;;;;;;;
6900;40;TAB;KENNEDY;Bomberos estación Kennedy;KR 79 41D 20 SUR;Subred Sur Occidente;4°37′11.84″N 74°9′32.36″W;;;;;;;;;
6992;41;TAB;KENNEDY;PARQUE INDUSTRIAL VILLA ALSACIA;Avenida callle 12 # 79A - 25;Subred Sur Occidente;4°38′55.56″N 74°8′15.87″W;;;;;;;;;
6932;42;TAB;KENNEDY;Centro Comercial Milenio Plaza;AK 86 42B 51 SUR;Subred Sur Occidente;4°37′48.38″N 74°10′7.8″W;;;;;;;;;
6929;43;;KENNEDY;Estación de servicio Primax la sevillana;AC 45 SUR 60;Subred Sur Occidente;4°35′43.19″N 74°8′45.35″W;;;;;;;;;
6856;44;TAM;KENNEDY;EDS TERPEL VILLA ALSACIA;CL 12 B 71 D 81;Subred Sur Occidente;4°38′43.91″N 74°7′49.23″W;;;;;;;;;
6902;45;TAB;KENNEDY;Movil ESPEJO - Hospital Kennedy;Av. 1 de Mayo #40B - 54, Bogotá;Subred Sur Occidente;4°36′59.48″N 74°9′11.94″W;;;;;;;;;
6903;46;TAB;LA CANDELARIA;Estación UAECOB B-17 Centro Histórico;CL 9 3 12 ESTE;Subred Centro Oriente;4°35′32.18″N 74°4′11.75″W;;;;;;;;;
6942;47;TAM;LA CANDELARIA;DIAN Edificio Sendas;KR 7 6C 54;Subred Sur Occidente;4°35′38.84″N 74°4′38.83″W;;;;;;;;;
